,Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Volume,Has Bandstructure,Crystal System,Li,Si,Mn,Fe,O,Co
0,mp-849394,Li2MnSiO4,Pc,-2.699,0.006,3.462,16,2.993,178.513,True,monoclinic,2.0,1.0,1.0,0.0,4.0,0.0
1,mp-783909,Li2MnSiO4,P21/c,-2.696,0.008,2.879,32,2.926,365.272,True,monoclinic,2.0,1.0,1.0,0.0,4.0,0.0
2,mp-761311,Li4MnSi2O7,Cc,-2.775,0.012,3.653,28,2.761,301.775,True,monoclinic,4.0,2.0,1.0,0.0,7.0,0.0
3,mp-761598,Li4Mn2Si3O10,C2/c,-2.783,0.013,3.015,38,2.908,436.183,True,monoclinic,4.0,3.0,2.0,0.0,10.0,0.0
4,mp-767709,Li2Mn3Si3O10,C2/c,-2.747,0.016,2.578,36,3.334,421.286,True,monoclinic,2.0,3.0,3.0,0.0,10.0,0.0
5,mp-761517,Li4MnSi2O7,C2,-2.763,0.024,3.293,14,2.792,149.207,True,monoclinic,4.0,2.0,1.0,0.0,7.0,0.0
6,mp-850949,LiMnSiO4,P21,-2.65,0.027,1.052,28,3.507,291.575,False,monoclinic,1.0,1.0,1.0,0.0,4.0,0.0
7,mp-853204,Li2MnSiO4,P21/c,-2.676,0.029,3.384,32,2.927,365.179,False,monoclinic,2.0,1.0,1.0,0.0,4.0,0.0
8,mp-767360,LiMn(SiO3)2,C2/c,-2.822,0.038,0.612,20,3.255,218.36,True,monoclinic,1.0,2.0,1.0,0.0,6.0,0.0
9,mp-764791,Li2Mn(SiO3)2,Cc,-2.823,0.04,3.447,22,2.7,271.853,True,monoclinic,2.0,2.0,1.0,0.0,6.0,0.0
10,mp-782667,Li2MnSiO4,P21/c,-2.66,0.044,2.785,32,2.977,358.984,True,monoclinic,2.0,1.0,1.0,0.0,4.0,0.0
11,mp-767686,Li2Mn(SiO3)2,C2/c,-2.818,0.045,3.397,22,2.702,271.581,True,monoclinic,2.0,2.0,1.0,0.0,6.0,0.0
12,mp-772591,Li2Mn2Si2O7,P21/c,-2.697,0.049,2.461,52,3.047,636.288,True,monoclinic,2.0,2.0,2.0,0.0,7.0,0.0
13,mp-849242,Li10Mn(SiO5)2,C2/m,-2.496,0.052,0.988,46,2.4,471.249,True,monoclinic,10.0,2.0,1.0,0.0,10.0,0.0
14,mp-780126,Li3MnSi2O7,P21,-2.721,0.058,0.921,78,2.89,840.856,False,monoclinic,3.0,2.0,1.0,0.0,7.0,0.0
15,mp-868532,Li5Mn(SiO4)2,C2,-2.649,0.067,0.584,16,2.588,175.701,False,monoclinic,5.0,2.0,1.0,0.0,8.0,0.0
16,mp-850142,Li2Mn(Si2O5)2,P21/c,-2.942,0.069,3.823,68,2.31,980.879,False,monoclinic,2.0,4.0,1.0,0.0,10.0,0.0
17,mp-767853,Li2Mn2Si3O10,Cc,-2.712,0.073,1.262,34,2.847,429.302,True,monoclinic,2.0,3.0,2.0,0.0,10.0,0.0
18,mp-849428,Li2Mn2(SiO3)3,P21/c,-2.769,0.077,3.188,64,2.517,929.064,False,monoclinic,2.0,3.0,2.0,0.0,9.0,0.0
19,mp-761329,LiMn(SiO3)2,C2/c,-2.782,0.078,1.497,20,3.104,228.983,True,monoclinic,1.0,2.0,1.0,0.0,6.0,0.0
20,mp-761653,Li2MnSi3O8,P21,-2.871,0.082,2.736,28,2.672,349.386,True,monoclinic,2.0,3.0,1.0,0.0,8.0,0.0
21,mp-769543,Li3Mn2(SiO4)2,P21,-2.612,0.083,0.0,30,2.887,362.254,True,monoclinic,3.0,2.0,2.0,0.0,8.0,0.0
22,mp-849217,Li4Mn(SiO3)3,C2,-2.794,0.083,2.862,34,2.649,389.814,True,monoclinic,4.0,3.0,1.0,0.0,9.0,0.0
23,mp-767695,Li2MnSi3O8,P21,-2.868,0.085,3.261,28,2.628,355.18,True,monoclinic,2.0,3.0,1.0,0.0,8.0,0.0
24,mp-767303,Li2Mn(SiO3)2,C2,-2.778,0.085,3.169,22,2.92,251.377,True,monoclinic,2.0,2.0,1.0,0.0,6.0,0.0
25,mp-780037,LiMn2Si2O7,Cc,-2.653,0.085,0.716,24,3.281,288.498,True,monoclinic,1.0,2.0,2.0,0.0,7.0,0.0
26,mp-774171,Li3Mn2(SiO4)2,Pc,-2.608,0.087,0.0,30,2.892,361.543,True,monoclinic,3.0,2.0,2.0,0.0,8.0,0.0
27,mp-778631,Li3Mn2(SiO4)2,Pc,-2.607,0.087,0.37,30,2.911,359.241,True,monoclinic,3.0,2.0,2.0,0.0,8.0,0.0
28,mp-780872,LiMnSiO4,P21/c,-2.589,0.088,0.982,56,3.361,608.454,True,monoclinic,1.0,1.0,1.0,0.0,4.0,0.0
29,mp-761765,Li3Mn3SiO8,P2/m,-2.329,0.088,0.915,15,3.853,147.276,True,monoclinic,3.0,1.0,3.0,0.0,8.0,0.0
30,mp-780287,Li3Mn2(SiO4)2,P21,-2.605,0.089,0.0,30,2.898,360.853,True,monoclinic,3.0,2.0,2.0,0.0,8.0,0.0
31,mp-774356,Li3Mn2(SiO4)2,Pc,-2.604,0.09,0.0,30,2.91,359.343,True,monoclinic,3.0,2.0,2.0,0.0,8.0,0.0
32,mp-850760,Li2MnSi4O11,C2/c,-2.832,0.091,1.37,36,2.868,413.524,True,monoclinic,2.0,4.0,1.0,0.0,11.0,0.0
33,mp-775353,Li5Mn(SiO3)4,C2,-2.79,0.091,1.342,132,2.584,1518.85,False,monoclinic,5.0,4.0,1.0,0.0,12.0,0.0
34,mp-769538,Li3Mn2(SiO4)2,P21,-2.601,0.093,0.0,30,3.001,348.469,True,monoclinic,3.0,2.0,2.0,0.0,8.0,0.0
35,mp-767011,Li7Mn3(SiO6)2,C2/m,-2.439,0.095,1.291,24,3.671,208.787,True,monoclinic,7.0,2.0,3.0,0.0,12.0,0.0
36,mp-510708,LiFe(SiO3)2,C2/c,-2.82,0.0,2.703,20,3.287,217.186,True,monoclinic,1.0,2.0,0.0,1.0,6.0,0.0
37,mp-19061,LiFe(SiO3)2,P21/c,-2.82,0.001,2.755,40,3.309,431.516,True,monoclinic,1.0,2.0,0.0,1.0,6.0,0.0
38,mp-646320,Li2FeSiO4,P21/c,-2.625,0.001,3.443,32,3.067,350.466,False,monoclinic,2.0,1.0,0.0,1.0,4.0,0.0
39,mp-763629,Li2FeSiO4,Pc,-2.621,0.005,3.027,16,3.073,174.862,True,monoclinic,2.0,1.0,0.0,1.0,4.0,0.0
40,mp-763264,Li2FeSiO4,P21,-2.619,0.007,3.401,32,3.005,357.648,True,monoclinic,2.0,1.0,0.0,1.0,4.0,0.0
41,mp-868123,LiFe(Si2O5)2,P2/c,-2.985,0.009,3.362,32,2.43,457.962,False,monoclinic,1.0,4.0,0.0,1.0,10.0,0.0
42,mp-761968,Li4FeSi2O7,Cc,-2.731,0.011,3.415,28,2.81,297.609,True,monoclinic,4.0,2.0,0.0,1.0,7.0,0.0
43,mp-762639,LiFeSiO4,Pc,-2.61,0.012,3.026,28,2.852,360.726,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
44,mp-762893,LiFeSiO4,Cc,-2.608,0.014,2.967,112,2.849,1444.106,False,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
45,mp-762925,LiFeSiO4,Cc,-2.608,0.014,2.969,112,2.848,1444.706,False,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
46,mp-767077,Li5Fe(SiO4)2,C2,-2.677,0.014,2.466,16,2.616,174.413,True,monoclinic,5.0,2.0,0.0,1.0,8.0,0.0
47,mp-767027,Li4FeSi2O7,C2,-2.722,0.02,3.442,14,2.824,148.024,True,monoclinic,4.0,2.0,0.0,1.0,7.0,0.0
48,mp-764348,LiFeSiO4,P21/c,-2.601,0.02,2.904,28,2.873,358.057,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
49,mp-761394,Li4Fe2Si3O10,C2/c,-2.71,0.021,3.159,38,2.978,427.934,True,monoclinic,4.0,3.0,0.0,2.0,10.0,0.0
50,mp-775228,LiFeSiO4,Pc,-2.599,0.023,0.401,14,2.87,179.222,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
51,mp-762554,Li2FeSiO4,P21/c,-2.603,0.023,3.448,32,3.028,354.961,False,monoclinic,2.0,1.0,0.0,1.0,4.0,0.0
52,mp-761644,Li2Fe3Si3O10,C2/c,-2.635,0.024,3.028,36,3.463,408.228,True,monoclinic,2.0,3.0,0.0,3.0,10.0,0.0
53,mp-764344,Li2FeSiO4,P21,-2.603,0.024,2.931,16,3.06,175.643,True,monoclinic,2.0,1.0,0.0,1.0,4.0,0.0
54,mp-778685,LiFe(SiO3)2,Cc,-2.793,0.028,3.273,20,2.602,274.334,False,monoclinic,1.0,2.0,0.0,1.0,6.0,0.0
55,mp-762645,LiFeSiO4,Pc,-2.59,0.032,2.839,28,2.843,361.8,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
56,mp-762786,Li3Fe2(SiO4)2,P21,-2.586,0.038,1.378,30,2.921,360.017,True,monoclinic,3.0,2.0,0.0,2.0,8.0,0.0
57,mp-765961,LiFeSi3O8,P21/c,-2.887,0.04,3.144,52,2.69,679.101,True,monoclinic,1.0,3.0,0.0,1.0,8.0,0.0
58,mp-764784,LiFeSiO4,Cc,-2.577,0.045,3.01,14,2.366,217.361,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
59,mp-765881,LiFeSi3O8,C2/c,-2.879,0.049,3.186,52,2.656,687.841,True,monoclinic,1.0,3.0,0.0,1.0,8.0,0.0
60,mp-762861,LiFeSiO4,P21/c,-2.572,0.05,3.028,84,2.857,1080.318,False,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
61,mp-762613,Li2Fe2Si2O7,P21/c,-2.598,0.051,3.159,52,3.149,619.645,True,monoclinic,2.0,2.0,0.0,2.0,7.0,0.0
62,mp-780866,LiFe2Si2O7,P21/c,-2.598,0.051,2.01,48,2.911,654.481,True,monoclinic,1.0,2.0,0.0,2.0,7.0,0.0
63,mp-762862,LiFeSiO4,P21/c,-2.571,0.051,3.042,84,2.872,1074.67,False,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
64,mp-767973,Li2Fe(SiO3)2,C2/c,-2.754,0.051,3.222,22,2.758,267.162,True,monoclinic,2.0,2.0,0.0,1.0,6.0,0.0
65,mp-762796,LiFeSiO4,Cc,-2.57,0.052,2.899,14,2.719,189.186,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
66,mp-762565,Li10Fe(SiO5)2,C2/m,-2.476,0.055,1.715,46,2.399,472.581,True,monoclinic,10.0,2.0,0.0,1.0,10.0,0.0
67,mp-764355,LiFeSiO4,Pc,-2.566,0.055,2.955,14,2.644,194.528,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
68,mp-763619,Li2Fe(SiO3)2,P21,-2.748,0.058,3.392,22,2.878,256.015,True,monoclinic,2.0,2.0,0.0,1.0,6.0,0.0
69,mp-761624,LiFeSi3O8,C2,-2.868,0.059,3.215,26,2.59,352.651,True,monoclinic,1.0,3.0,0.0,1.0,8.0,0.0
70,mp-767938,LiFeSiO4,P21/c,-2.562,0.059,2.871,28,2.843,361.839,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
71,mp-762650,Li3Fe2(SiO4)2,P21,-2.564,0.06,1.331,30,3.026,347.513,True,monoclinic,3.0,2.0,0.0,2.0,8.0,0.0
72,mp-763781,Li3Fe2(SiO4)2,Pc,-2.564,0.06,1.684,30,2.741,383.694,True,monoclinic,3.0,2.0,0.0,2.0,8.0,0.0
73,mp-767668,Li9Fe5(SiO8)2,P2/m,-2.324,0.06,1.646,32,3.782,287.056,True,monoclinic,9.0,2.0,0.0,5.0,16.0,0.0
74,mp-762656,LiFeSiO4,Pc,-2.561,0.061,2.724,28,2.895,355.354,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
75,mp-767283,LiFeSiO4,Pc,-2.56,0.062,2.587,14,2.947,174.534,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
76,mp-774106,Li3Fe2(SiO4)2,Pc,-2.562,0.062,1.511,30,2.991,351.593,True,monoclinic,3.0,2.0,0.0,2.0,8.0,0.0
77,mp-767838,LiFeSiO4,P21,-2.56,0.062,2.727,28,2.889,356.057,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
78,mp-762571,Li2Fe(Si2O5)2,P21/c,-2.913,0.062,3.661,68,2.417,940.148,False,monoclinic,2.0,4.0,0.0,1.0,10.0,0.0
79,mp-765416,Li2Fe2Si8O19,C2,-2.955,0.063,3.031,31,2.711,400.68,True,monoclinic,2.0,8.0,0.0,2.0,19.0,0.0
80,mp-762723,Li3Fe2(SiO4)2,P21,-2.561,0.063,1.259,30,2.943,357.383,False,monoclinic,3.0,2.0,0.0,2.0,8.0,0.0
81,mp-762586,LiFeSiO4,P21,-2.555,0.066,2.576,28,3.068,335.324,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
82,mp-761546,LiFeSiO4,P2,-2.553,0.068,2.736,84,2.499,1234.971,False,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
83,mp-778622,Li3Fe2(SiO4)2,Pc,-2.556,0.069,1.923,30,2.891,363.781,True,monoclinic,3.0,2.0,0.0,2.0,8.0,0.0
84,mp-762646,LiFeSiO4,P21/c,-2.553,0.069,2.164,56,3.289,625.575,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
85,mp-767963,Li2FeSi3O8,P21,-2.84,0.069,3.081,28,2.665,351.384,True,monoclinic,2.0,3.0,0.0,1.0,8.0,0.0
